antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'tenaga_kerja_perempuan_high', 'tenaga_kerja_laki_laki_high', 'laba_high'})","frozenset({'biaya_karyawan_high', 'omset_high'})",0.12039221468593335,0.24793571217929813,0.11405190209377765,0.9473361910593999,3.820894467894648,0.08420237260477781,14.280476535014039,0.8393299719454521
"frozenset({'tenaga_kerja_perempuan_high', 'tenaga_kerja_laki_laki_high', 'omset_high'})","frozenset({'biaya_karyawan_high', 'laba_high'})",0.12017104099085815,0.2484517841344736,0.11405190209377765,0.9490797546012271,3.8199756057599537,0.08419519255830198,14.759320383865179,0.8390474262180411
"frozenset({'tenaga_kerja_laki_laki_high', 'laba_high'})","frozenset({'biaya_karyawan_high', 'omset_high'})",0.2447655558832203,0.24793571217929813,0.1750958419345326,0.7153614457831325,2.8852698931318495,0.11440971951966457,2.6421729476875453,0.8651776649746191
"frozenset({'biaya_karyawan_high', 'omset_high'})","frozenset({'tenaga_kerja_laki_laki_high', 'laba_high'})",0.24793571217929813,0.2447655558832203,0.1750958419345326,0.7062146892655368,2.8852698931318495,0.11440971951966457,2.570701857859039,0.8688246250367612
"frozenset({'tenaga_kerja_laki_laki_high', 'omset_high'})","frozenset({'biaya_karyawan_high', 'laba_high'})",0.24542907696844588,0.2484517841344736,0.1750958419345326,0.7134274556924002,2.871492584276474,0.11411854988324517,2.6225408916313815,0.8637346566220143
"frozenset({'biaya_karyawan_high', 'laba_high'})","frozenset({'tenaga_kerja_laki_laki_high', 'omset_high'})",0.2484517841344736,0.24542907696844588,0.1750958419345326,0.7047477744807122,2.871492584276474,0.11411854988324517,2.555682422729988,0.8672085747033859
"frozenset({'tenaga_kerja_perempuan_high', 'laba_high'})","frozenset({'biaya_karyawan_high', 'omset_high'})",0.2491153052196992,0.24793571217929813,0.17598053671483338,0.7064220183486238,2.8492144682963825,0.11421595610042404,2.5617189803892657,0.864348513538499
"frozenset({'biaya_karyawan_high', 'omset_high'})","frozenset({'tenaga_kerja_perempuan_high', 'laba_high'})",0.24793571217929813,0.2491153052196992,0.17598053671483338,0.7097829319060363,2.849214468296382,0.11421595610042404,2.58732093088745,0.8629928056454869
"frozenset({'biaya_karyawan_high', 'laba_high'})","frozenset({'tenaga_kerja_perempuan_high', 'omset_high'})",0.2484517841344736,0.2491153052196992,0.17598053671483338,0.7083086053412463,2.8432962186589714,0.11408739467779516,2.574243561962984,0.8626133529017578
"frozenset({'tenaga_kerja_perempuan_high', 'omset_high'})","frozenset({'biaya_karyawan_high', 'laba_high'})",0.2491153052196992,0.2484517841344736,0.17598053671483338,0.7064220183486238,2.8432962186589714,0.11408739467779516,2.5599611102919493,0.8633756032872382
"frozenset({'aset_high', 'laba_high', 'tahun_berdiri_high'})",frozenset({'omset_high'}),0.1073429666764966,0.5,0.1073429666764966,1.0,2.0,0.0536714833382483,inf,0.5601255368351503
"frozenset({'biaya_karyawan_high', 'aset_high', 'laba_high'})",frozenset({'omset_high'}),0.11191388970805072,0.5,0.11191388970805072,1.0,2.0,0.05595694485402536,inf,0.5630084675410925
"frozenset({'aset_high', 'laba_high'})",frozenset({'omset_high'}),0.22493364789147743,0.5,0.22493364789147743,1.0,2.0,0.11246682394573872,inf,0.6451060591648435
